beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,height_cm,shoulder_width_cm,chest_circumference_cm,waist_circumference_cm,hip_circumference_cm,arm_length_cm,leg_length_cm
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,-5.0,222.02532291412354,43.429675698280334,94.84085440635681,38.09318244457245,95.7463026046753,70.08947432041168,130.5111527442932
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,222.99580574035645,44.106340408325195,93.52902173995972,37.08299398422241,94.34127807617188,70.27673125267029,130.89864253997803
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,5.0,223.96786212921143,43.27237904071808,91.23477935791016,36.20483875274658,92.96704530715942,70.4687237739563,131.28992319107056
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,227.04570293426514,47.26054072380066,79.09517288208008,50.29383897781372,78.689044713974,66.87396168708801,142.19740629196167
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,0.0,227.94959545135498,48.026469349861145,77.45189666748047,49.28353428840637,77.64683961868286,67.06615686416626,142.57529973983765
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,5.0,228.87253761291504,46.77874743938446,75.97655057907104,48.41923713684082,76.89611911773682,67.26322770118713,142.95734763145447
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,0.0,-5.0,226.5038251876831,46.08142375946045,87.71725296974182,56.29352927207947,82.85805583000183,68.3302253484726,141.42419695854187
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,0.0,0.0,227.3937463760376,45.21375596523285,86.15213632583618,54.93077635765076,83.08601975440979,68.52005124092102,141.80036187171936
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,0.0,5.0,228.31401824951172,46.37238085269928,84.634530544281,53.76179218292236,82.37767219543457,68.7146544456482,142.18066334724426
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,5.0,-5.0,225.9873390197754,43.43990087509155,93.81868839263916,62.697815895080566,84.72620844841003,69.79010105133057,140.6631886959076
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,5.0,0.0,226.89037322998047,42.51220226287842,92.22047328948975,61.325788497924805,83.85454416275024,69.97759938240051,141.03749990463257
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,5.0,5.0,227.82955169677734,43.45778822898865,90.6589150428772,59.972625970840454,84.95534062385559,70.16984820365906,141.41592383384705
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,-5.0,227.35764980316162,48.75437021255493,85.59207916259766,45.801424980163574,88.75524401664734,67.0026957988739,142.26114749908447
-5.0,-5.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,228.26714515686035,47.85730838775635,84.0198278427124,44.57530081272125,86.61513328552246,67.19849109649658,142.64123439788818
